trade_date,open,high,low,close,vol,amount,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,ATR_14
2025-09-18,1492.0,1497.8,1463.5,1467.96,49721.25,7347477.479,45.822925339994455,13.345069447855167,16.29972442127139,-2.954654973416222,1532.5473672603673,1487.8690000000001,1443.190632739633,24.801073728786335
2025-09-19,1467.99,1475.5,1457.01,1467.97,32636.62,4784528.851,47.101190900663234,10.343952554915404,15.108570048000193,-4.764617493084788,1532.329490804972,1488.07,1443.8105091950279,23.959597231614826
2025-09-22,1465.09,1467.97,1450.01,1453.35,34947.08,5085057.536,36.41245972073036,6.708502538453558,13.428556546090867,-6.720054007637309,1533.0954836434678,1486.221,1439.3465163565322,23.15965093406619
2025-09-23,1450.5,1457.5,1440.0,1447.42,38663.0,5588384.388,37.7141585700512,3.3107168840924714,11.404988613691188,-8.094271729598717,1534.4853673919172,1484.5115,1434.537632608083,22.405030809524032
2025-09-24,1434.07,1456.78,1434.07,1442.0,30743.5,4443052.872,38.417951042611016,0.1785404667543844,9.159698984303828,-8.981158517549444,1535.1705718229077,1484.2115,1433.252428177092,22.445693368254165
2025-09-25,1442.83,1445.21,1436.0,1439.0,33869.73,4873274.661,32.40281554951207,-2.516794794314137,6.824400228580235,-9.341195022894372,1536.0181940615246,1483.8565,1431.6948059384756,20.68093425248695
2025-09-26,1441.18,1447.11,1428.01,1435.0,45120.71,6480889.597,20.11011824171854,-4.918931596640505,4.475733863536088,-9.394665460176594,1538.165432571999,1481.6065,1425.0475674280012,20.47014301882201
2025-09-29,1439.38,1469.99,1435.0,1460.86,53684.03,7798434.586,33.39102950030096,-4.681985426421534,2.644190005544564,-7.326175431966098,1538.121883972529,1480.8445,1423.5671160274708,22.406123949645746
2025-09-30,1460.0,1460.76,1440.0,1443.99,39363.62,5687474.876,20.6117221636281,-5.788742866547182,0.9576034311262149,-6.746346297673396,1537.8091978315983,1478.479,1419.1488021684017,22.19997408969297
2025-10-09,1436.0,1439.38,1420.0,1436.78,54918.12,7845448.947,18.68409648996095,-7.165048634548384,-0.6669269820087049,-6.498121652539679,1538.4601671596095,1476.2905,1414.1208328403907,22.438644211067242
2025-10-10,1437.6,1439.94,1427.5,1430.0,36001.44,5157459.262,18.781762741396776,-8.702552599397904,-2.274052105486545,-6.4285004939113595,1539.688058199168,1474.1575,1408.6269418008321,21.105491649591617
2025-10-13,1415.7,1422.85,1415.12,1419.2,46068.8,6533147.458,17.522351666215087,-10.669513795796547,-3.953144443548546,-6.716369352248002,1540.7586497556129,1470.9675000000002,1401.1763502443875,20.27542609631275
2025-10-14,1429.99,1464.0,1429.99,1451.02,66672.33,9639484.605,35.10405257393205,-9.550642781057377,-5.072644111050312,-4.477998670007064,1537.2700241956218,1468.4569999999999,1399.643975804378,23.545369283471043
2025-10-15,1450.98,1463.0,1445.08,1462.0,42785.4,6233407.482,40.79244386360934,-7.689297766306481,-5.595974842101547,-2.0933229242049345,1532.9659203885597,1466.307,1399.6480796114404,22.795320045674913
2025-10-16,1461.92,1484.95,1458.88,1484.91,45730.15,6749162.949,55.098971181036056,-4.315773350005202,-5.339934543682278,1.0241611936770765,1526.4887163269584,1464.452,1402.4152836730416,23.231944039584917
2025-10-17,1483.1,1488.0,1454.03,1455.0,38085.89,5594724.9,46.69318239763397,-4.009498968572643,-5.073847428660351,1.0643484600877082,1516.560193146555,1461.027,1405.493806853445,24.66368483430693
2025-10-20,1455.0,1469.5,1454.88,1457.93,25949.88,3793283.759,51.24173083179703,-3.4901159179507886,-4.757101126518439,1.2669852085676503,1507.2584339868768,1458.1235000000001,1408.9885660131235,23.324526856399327
2025-10-21,1459.0,1469.94,1455.5,1462.26,25442.67,3727984.13,54.05863691062245,-2.6980053692532238,-4.345281975065396,1.6472766058121726,1496.773359921654,1455.4815,1414.1896400783462,22.139923275546092
2025-10-22,1462.08,1465.73,1456.0,1458.7,18194.92,2657486.636,54.61427939876218,-2.330648040567212,-3.9423551881657595,1.6117071475985476,1489.0881406623598,1453.4175,1417.7468593376402,20.485266838806616
2025-10-23,1455.0,1468.8,1447.2,1467.98,29322.35,4274652.09,57.738731040375995,-1.2759874777441382,-3.4090816460814355,2.1330941683372973,1483.4810886802077,1452.1665,1420.8519113197924,20.633897926965723
2025-10-24,1467.95,1478.88,1449.34,1450.0,38225.83,5578603.148,53.727263691481966,-1.869447293449639,-3.1011547755550763,1.2317074821054375,1481.6935501188889,1451.2685,1420.843449881111,21.82137820337032
2025-10-27,1440.0,1452.49,1435.99,1440.41,37102.39,5352667.152,44.471478778048166,-3.0781186898748274,-3.0965475584190267,0.01842886854419934,1479.6190497902548,1449.8905,1420.161950209745,21.11186110958761
2025-10-28,1442.0,1451.2,1441.1,1445.0,27124.33,3923817.14,50.29246539642091,-3.623851337331871,-3.202008314201596,-0.421843023130275,1479.2314996084724,1449.473,1419.7145003915275,19.73561296164259
2025-10-29,1440.02,1446.55,1430.04,1431.9,33937.11,4868780.319,48.63351254480289,-5.055136444743084,-3.572633940309894,-1.48250250443319,1479.4729353015357,1448.6970000000001,1417.9210646984645,19.30553123342358
